Scanning 101 .tor files for zero-dot singleton FQNs
FQN	PAYLOAD_SIZE	CF_E0_COUNT	CF_40_COUNT	STRING_COUNT	FIRST_32_BYTES	STRING_SAMPLES
chrCompanionTable_Prototype	3799	212	9	20	00 02 02 CF 40 00 00 10 52 0A 47 6A 08 01 09 08 08 CF E0 00 01 A9 EC AA AF C9 06 06 CF 40 00 00	Qqst.companion.imperial.sith_warrior.companion_tracker.sithwarriorcompaniontracker | N?oQP | Jqst.companion.republic.smuggler.companion_tracker.smugglercompaniontracker | g;yDu | @qst.companion.imperial.spy.companion_tracker.spycompaniontracker | &(QaB | -2Zp | 5d,v
chrCreationTablePrototype	3363	284	17	20	00 00 00 02 02 CF 40 00 00 10 36 F1 A2 37 08 02 07 02 02 CF 0F 15 AE 02 63 83 82 21 01 04 04 01	NK^h | SH&bK | kor_rebuild_test | S#Nji | ord_resize | NK^h | SH&bK | hut_main
chrCurrencyCategoryTablePrototype	152	0	8	0	00 00 00 01 01 CF 40 00 00 35 0C A6 9B A4 08 02 09 07 07 01 02 02 CF 40 00 00 35 0C A6 9B A2 02	
chrCurrencyTablePrototype	6130	196	98	14	00 00 00 04 04 CF 40 00 00 30 67 6B DB E5 08 02 09 61 61 01 0A 06 CF 40 00 00 30 67 6B DB E7 01	v2w- | ddy_ | qk\M | HIYW | e5l5A | HIYWQ | 9V#Y | qk\MB
chrFactionPackagesPrototype	12068	0	70	123	00 01 01 CF 40 00 00 09 6D 06 6C D8 08 02 09 45 45 CF 01 DF 5C 14 E5 83 72 A8 0B 09 CF 40 00 00	hostile2_noinsta | hOd* | empire_utility_npc | republic | x>tc" | scripted_hostile_nokill | flashpoint_hostile1_nokill | coalition_republic_nodefend
chrForceAlignmentData	1053	22	12	0	00 00 00 00 00 00 00 05 05 CF 40 00 00 04 E2 87 39 9A 07 09 05 05 01 09 09 CF 40 00 00 04 E2 87	
chrGearScorePrototype	2951	48	1	1	00 00 00 00 00 00 00 01 01 CF 40 00 00 43 FC FC 0E C0 08 01 08 30 30 CF E0 00 03 8B DA DD C3 D4	(~bv
chrOutfitCostsPrototype	796	0	1	0	00 00 00 00 00 02 02 CF 40 00 00 42 44 32 DE F0 07 02 64 64 01 32 02 32 03 32 04 32 05 32 06 32	
chrOutfitExpansionCostsPrototype	263	0	1	1	00 00 00 00 01 01 CF 40 00 00 42 66 70 21 31 07 02 32 32 01 00 02 C9 4E 20 03 C9 75 30 04 C9 AF	Bfp!1
chrPaidPermissionDefsTablePrototype	404813	17	3716	3588	00 0A 0A CF 40 00 00 40 9D A4 D4 47 07 09 C9 0E 61 C9 0E 61 01 10 06 CF 40 00 00 40 9D A4 D4 44	,paid_permission.abl.early_access.mount.rank1 | ,paid_permission.abl.early_access.mount.rank2 | ,paid_permission.abl.early_access.mount.rank3 | 'paid_permission.abl.early_access.sprint | paid_permission.itm.mod_removal | ,paid_permission.itm.equip_artifact_equipment | 1paid_permission.itm.equip_companion_customization | paid_permission.itm.equip_events
chrPlayerTitlesTablePrototype	22561	412	574	10	00 00 00 00 00 00 00 02 02 CF 40 00 00 18 AE 42 52 53 07 09 C9 04 06 C9 04 06 01 04 03 CF 40 00	<PE( | O#HD | &]HS | H-h5<I | PXy3- | J(C= | Nz`M4 | ]rl0
chrSpeciesScalePrototype	1826	2	1	80	00 00 00 00 02 02 CF 40 00 00 0B C1 A9 60 B8 08 02 04 3C 3C CF 02 E9 30 3C A2 A6 20 3F 33 33 73	?33s? | 33s? | r>33s? | 33s? | *#f2 | [fff? | 33s? | Mx3P
cmdEmoteGroupingsPrototype	646	0	13	24	00 00 01 01 CF 40 00 00 0E F8 AB 92 4C 07 09 0C 0C 01 03 03 CF 40 00 00 0E F8 AB 92 4D 06 07 45	Emotion | mtx_emote_possessed | Action | mtx_emote_bottle_break | Celebration | mtx_emote_woohoo | Mood | emote_mood_goofy
cmdLocalizedSlashCmdPrototype	848	0	1	82	00 00 00 00 00 00 00 01 01 CF 40 00 00 23 4D 1B 2D 74 08 01 06 56 56 02 04 2F 62 75 67 03 05 2F	/bug | /chat | /coverbar | /date | /dismiss | /dnd | /duel | /emote
cnqAchGroupPrototype	22562	1953	1	60	01 01 CF 40 00 00 43 8C 7D AF EB 08 02 07 29 29 CF 01 57 2D 3F 43 78 31 40 01 0E 0E 01 CF E0 00	W-?Cx1@ | ,"EM | e?=+h?wU | uO~z | t(PC | t(PC | Yx+.7 | 6}ruRM
cnqConquestInfoPrototype	141169	13209	292	613	00 00 00 00 02 02 CF 40 00 00 4F 29 5B 33 18 08 02 09 15 15 CF 02 D2 A1 3E 81 93 F4 03 0C 0A CF	O)[3 | RakghoulCorellia | %cdx.strongholds.conquest.rakghoul_cor | Yx+. | 6}ruR | QmQb | 38Gd | {(_E
cnqPlanetInfoPrototype	2363	56	57	58	00 00 00 00 00 00 02 02 CF 40 00 00 43 8C 7D AF EA 08 02 09 1C 1C CF 0D FE C1 C6 2C 8A 87 FA 05	Rishi | _pla_rishi | Dantooine | _pla_dantooine | SectionX | _pla_belsavis | Onderon | _pla_onderon
cnvBaseFxaListPrototype	848	0	1	34	00 00 00 00 00 01 01 CF 40 00 00 34 BF 3C CC 40 08 06 06 16 16 D2 03 62 66 61 1B 2F 73 65 72 76	/server/facefx/bfa_base.fxa | /server/facefx/bfb_base.fxa | /server/facefx/bfn_base.fxa | /server/facefx/bfs_base.fxa | /server/facefx/bma_base.fxa | /server/facefx/bmf_base.fxa | /server/facefx/bmn_base.fxa | /server/facefx/bms_base.fxa
cnvHoloColorOverridesTable	236	0	3	4	00 00 01 01 CF 40 00 00 45 96 47 91 62 08 02 09 02 02 CF CA 3F 72 34 7D 8B EE FC 06 06 CF 40 00	?r4} | test_preset_2 | ?u4} | test_preset_1
cnvReactionsDataPrototype	2515	0	76	3	00 00 00 01 01 CF 40 00 00 42 70 F2 8F 35 08 02 09 4B 4B CE DC CE 79 18 38 CD BD 03 01 CF 40 00	\P@)( | m0c_ | n\i2C
cnvRewardTable_Prototype	176	0	4	3	00 00 00 00 01 01 CF 40 00 00 11 FC 48 EE 6B 08 02 09 03 03 01 04 01 CF 40 00 00 18 A0 E0 E0 41	img://gfx/symbols/light_side.dds | img://gfx/symbols/dark_side.dds | img://gfx/symbols/credits.dds
cnvcameratable	7059	0	1	436	00 00 00 00 00 00 09 07 CF 40 00 00 00 00 69 C6 92 07 07 28 28 01 06 03 03 01 0D 44 69 73 74 61	DistanceShort | IUse | CameraListShort | distance | between | speaker | listener | less
cnvdefaultprimaryweapons	269	0	1	13	00 00 00 00 09 07 CF 40 00 00 00 00 69 C6 92 07 07 02 02 01 06 02 02 01 0C 63 6C 61 73 73 2E 70	class.pc.spy | blaster_agent | class.pc.trooper | blaster_new | class.pc.spy | class.pc.trooper | Class | Weapon
cnvdefaultweapons	905	0	1	41	00 00 00 09 07 CF 40 00 00 00 00 69 C6 92 07 07 09 09 01 06 02 02 01 14 63 6C 61 73 73 2E 70 63	class.pc.jedi_knight | lightsaber_blue | class.pc.jedi_wizard | lightsaber_blue | class.pc.smuggler | blaster_new | class.pc.trooper | blaster_new
cnvsoundbankshortnames	3113	0	1	85	00 00 00 00 00 00 09 07 CF 40 00 00 00 00 69 C6 92 07 07 14 14 01 06 02 02 01 2C 63 6E 76 5F 73	,cnv_soundset_basic_human_female_old_soundset | hmn_f_old_sndset | (cnv_soundset_basic_human_female_soundset | human_f_soundset | *cnv_soundset_basic_human_male_old_soundset | hmn_m_old_sndset | &cnv_soundset_basic_human_male_soundset | human_m_soundset
colCollectionCategoriesPrototype	224659	6	342	1857	00 00 00 00 03 03 CF 40 00 00 41 03 3E B7 85 08 02 09 C9 01 12 C9 01 12 CF 01 03 32 81 AE D8 E7	mtx_platter_armor | mtx_explorer_core_worlds | 3A2aS@ph | +~0Ky | BkM? | Qk3> | ;n0WHS | Yu}5
colCollectionItemsPrototype	2290795	19443	18365	12333	00 0B 09 CF 40 00 00 41 03 44 AA F8 08 02 09 C9 0B 69 C9 0B 69 CE 03 68 55 6D A1 DD 11 16 13 CF	mtx_platter_galactic_seasons | Mtx.Season3.Bikini_V02 | Mtx.Season3.Bikini_V01 | ZMhP | ZMhP | sniper_rifle_gs07_a01_v01 | Eod@i | sniper_rifle_gs07_a01_v02
colCollectionSourcesPrototype	39693	15	74	325	00 00 00 00 00 00 00 02 01 CF 40 00 00 4E 1C 69 DD 7E 08 02 09 3E 3E CF 01 E9 FE 26 D6 C7 7D C9	mtx_explorer_core_worlds | BkM? | Qk3> | +~0Ky | 3A2aS@ph | Yu}5 | mtx_bounty_tracker | k^3D
conEquipmentAdvancedSlotTablePrototype	264	21	1	1	00 00 00 00 00 00 02 02 CF 40 00 00 44 9F DF 46 B0 08 05 01 05 05 04 CF E0 00 8D 50 3E C0 C6 28	pAJC
conEquipmentSlotDataPrototype	6532	14	1	224	00 00 00 00 00 00 00 04 04 CF 40 00 00 0F 63 9C 82 AC 08 06 02 3A 3A D2 18 63 6F 6E 53 6C 6F 74	conSlotEquipDroidChest_1 | conSlotEquipDroidFeet_1 | conSlotEquipDroidHand_1 | conSlotEquipDroidLeg_1 | conSlotEquipDroidLower_1 | conSlotEquipDroidLower_2 | conSlotEquipDroidOutfit_1 | conSlotEquipDroidSensor_1
conSpec_Deconstruct	1089	0	1	41	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 14 CC 04 4A 5D 59 C3 08 05 02 01 01 01 00	conSpec_Deconstruct | conSlotInventory_1 | conSlotInventory_10 | conSlotInventory_11 | conSlotInventory_12 | conSlotInventory_13 | conSlotInventory_14 | conSlotInventory_15
conSpec_Destroy	1089	0	1	41	00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 14 CC 04 4A 5D 59 C3 08 05 02	conSpec_Destroy | conSlotInventory_1 | conSlotInventory_10 | conSlotInventory_11 | conSlotInventory_12 | conSlotInventory_13 | conSlotInventory_14 | conSlotInventory_15
conSpec_abilities	56743	0	1	2002	00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 1B C9 03 E8 CC 04 4A 5D 59 C3 08 05 02	conSpec_abilities | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPPQQRRSSTTUUVVWWXXYYZZ[[\\]]^^__``aabbccddeeffgghhiijjkkllmmnnooppqqrrssttuuvvwwxxyyzz{{||}}~~ | conSlotAbilities_1 | conSlotAbilities_10 | conSlotAbilities_100d | conSlotAbilities_1000 | conSlotAbilities_101e | conSlotAbilities_102f
conSpec_bank_288	25318	0	1	1122	00 00 00 00 10 0F CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 02 50 CC 04 4A 5D 59 C3 08 05 02 01	conSpec_bank_288 | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPPQQRRSSTTUUVVWWXXYYZZ[[\\]]^^__``aabbccddeeffgghhiijjkkllmmnnooppqqrrssttuuvvwwxxyyzz{{||}}~~ | conSlotBank_1 | conSlotBank_10 | conSlotBank_100d | conSlotBank_101e | conSlotBank_102f | conSlotBank_103g
conSpec_bank_80	3109	0	1	162	00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 02 50 CC 04 4A 5D 59 C3 08 05 02	conSpec_bank_80 | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPP | conSlotBank_1 | conSlotBank_10 | conSlotBank_11 | conSlotBank_12 | conSlotBank_13 | conSlotBank_14
conSpec_bank_legacy_288	25316	0	1	1122	00 00 00 00 00 10 0E CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 02 50 CC 04 4A 5D 59 C3 08 05 02	conSpec_bank_legacy_288 | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPPQQRRSSTTUUVVWWXXYYZZ[[\\]]^^__``aabbccddeeffgghhiijjkkllmmnnooppqqrrssttuuvvwwxxyyzz{{||}}~~ | conSlotBank_1 | conSlotBank_10 | conSlotBank_100d | conSlotBank_101e | conSlotBank_102f | conSlotBank_103g
conSpec_bounty_hunter_equip	2369	0	1	53	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 18 18 05 01 06 01 07 01 08 01 09 01 0A 01 0B 01 0C	conSpec_bounty_hunter_equip | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanEar_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanImplant_1
conSpec_buyback_08	536	0	1	19	00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 25 09 CC 04 4A 5D 59 C3 08 05 02 01 01 25	conSpec_buyback_08 | conSlotBuyback_1 | conSlotBuyback_2 | conSlotBuyback_3 | conSlotBuyback_4 | conSlotBuyback_5 | conSlotBuyback_6 | conSlotBuyback_7
conSpec_buyback_12	665	0	1	25	00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 25 0C CC 04 4A 5D 59 C3 08 05 02 01 01 25	conSpec_buyback_12 | conSlotBuyback_1 | conSlotBuyback_10 | conSlotBuyback_11 | conSlotBuyback_12 | conSlotBuyback_2 | conSlotBuyback_3 | conSlotBuyback_4
conSpec_companion_equip	1139	0	1	25	00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 0C 0C 03 01 04 01 05 01 06 01 07 01 09	conSpec_companion_equip | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanMainHand_1
conSpec_companion_equip_melee_focus	949	0	1	21	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 0A 0A 03 01 05 01 06 01 07 01 09 01 0A 01 0B 01 0D	#conSpec_companion_equip_melee_focus | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFocus_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1
conSpec_companion_equip_melee_generator	959	0	1	21	00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 0A 0A 03 01 05 01 06 01 07 01 09 01 0A	'conSpec_companion_equip_melee_generator | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanMainHand_1
conSpec_companion_equip_melee_single_weapon	878	0	1	19	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 09 09 03 01 05 01 06 01 07 01 09 01 0A 01 0B 01 0D	+conSpec_companion_equip_melee_single_weapon | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanMainHand_1
